Data Table for Daily Death Trends - The United States,,,,
Date generated: Wed Nov 03 2021 10:08:54 GMT-0400 (Eastern Daylight Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Jun 14 2020,503,746,0
United States,Jun 13 2020,638,759,0
United States,Jun 12 2020,731,761,0
United States,Jun 11 2020,861,777,0
United States,Jun 10 2020,858,777,0
United States,Jun  9 2020,832,804,0
United States,Jun  8 2020,804,815,0
United States,Jun  7 2020,589,800,0
United States,Jun  6 2020,655,818,0
United States,Jun  5 2020,841,851,0
United States,Jun  4 2020,860,875,0
United States,Jun  3 2020,1050,922,0
United States,Jun  2 2020,907,956,0
United States,Jun  1 2020,701,946,0
United States,May 31 2020,713,946,0
United States,May 30 2020,885,959,0
United States,May 29 2020,1012,962,0
United States,May 28 2020,1190,1078,0
United States,May 27 2020,1284,1062,0
United States,May 26 2020,839,1070,0
United States,May 25 2020,702,1117,0
United States,May 24 2020,806,1158,0
United States,May 23 2020,901,1179,0
United States,May 22 2020,1825,1222,0
United States,May 21 2020,1080,1182,0
United States,May 20 2020,1341,1308,0
United States,May 19 2020,1169,1328,0
United States,May 18 2020,986,1380,0
United States,May 17 2020,953,1396,0
United States,May 16 2020,1206,1419,0
United States,May 15 2020,1539,1458,0
United States,May 14 2020,1964,1469,0
United States,May 13 2020,1485,1492,0
United States,May 12 2020,1529,1611,0
United States,May 11 2020,1100,1738,0
United States,May 10 2020,1114,1765,0
United States,May  9 2020,1475,1812,0
United States,May  8 2020,1622,1826,0
United States,May  7 2020,2121,1867,0
United States,May  6 2020,2322,1881,0
United States,May  5 2020,2415,1894,0
United States,May  4 2020,1286,1850,0
United States,May  3 2020,1448,1887,0
United States,May  2 2020,1571,1904,0
United States,May  1 2020,1908,1943,0
United States,Apr 30 2020,2219,1972,0
United States,Apr 29 2020,2411,1940,0
United States,Apr 28 2020,2112,1919,0
United States,Apr 27 2020,1540,1987,0
United States,Apr 26 2020,1568,2070,0
United States,Apr 25 2020,1847,2138,0
United States,Apr 24 2020,2111,2144,0
United States,Apr 23 2020,1992,2176,0
United States,Apr 22 2020,2267,2238,0
United States,Apr 21 2020,2589,2301,0
United States,Apr 20 2020,2119,2287,0
United States,Apr 19 2020,2046,2263,0
United States,Apr 18 2020,1890,2239,0
United States,Apr 17 2020,2330,2287,0
United States,Apr 16 2020,2429,2269,0
United States,Apr 15 2020,2709,2241,0
United States,Apr 14 2020,2488,2176,0
United States,Apr 13 2020,1950,2121,0
United States,Apr 12 2020,1881,2089,0
